Corndog,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Corndog/v13fty3
Cronelea,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Cronelea/v1ryt73
Cronelea,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Cronelea/v1ryt73
Cronyhorn Lower,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Cronyhorn-Lower/v1k2v5j
Cronyhorn Upper,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Cronyhorn-Upper/v1q4m8r
Cross,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Cross/v1zrk69
Curraghlawn,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Curraghlawn/v184yyr
Curravanish,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Curravanish/v136wch
Deerpark,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Deerpark/v14cz6s
Drummin,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Drummin/v1q21ts
Drummin,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Drummin/v1q21ts
Farnees,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Farnees/v13xrx3
Garryhoe,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Garryhoe/v1qz38m
Glenphilipeen,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Glenphilipeen/v1jf34f
Glennashouk,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Glennashouk/v1rb9y6
Gorteen,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Gorteen/v17rmz4
Gowle,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Gowle/v182ybg
Greenhall,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Greenhall/v1jt5t5
Hillbrook Lower,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Hillbrook-Lower/v1k77fv
Hillbrook Upper,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Hillbrook-Upper/v1q4h7q
Kennystown,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Kennystown/v15w6dy
Kilballyowen,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Ballycooleen/v1h8mc9
Kilcavan Lower,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Kilcavan-Lower/v1jh54r
Kilcavan Upper,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Kilcavan-Upper/v1qq73q
Killabeg,https://vrti-graph.adaptcentre.ie/entity-card/place/present-day/townland/Killabeg/v135dky
